"NULL_PREDICTORxdataset","NULL_PREDICTORxk_fold","NULL_PREDICTORxresponse_mean","NULL_PREDICTORxresponse_sd","num_training_samples","superset_num_coefficients","NULL_PREDICTORxsuperset_predictor_matrix","NULL_PREDICTORxadded_predictor","added_predictor_coefficient","added_predictor_pvalue","superset_anova_pvalue","NULL_PREDICTORxsuperset_mse","NULL_PREDICTORxsuperset_test_sd","NULL_PREDICTORxmse_diff","NULL_PREDICTORxmse_ratio","RESPONSE_VARIABLExstd_mse_diff","NULL_PREDICTORxstd_mse_ratio","superset_r_sq","superset_r_sq_adj","r_sq_diff","r_sq_ratio","r_sq_adj_diff","r_sq_adj_ratio","aic_diff","aic_ratio","aic_corrected_diff","aic_corrected_ratio","bic_diff","bic_ratio","superset_normality_pvalue","normality_pvalue_diff","normality_pvalue_ratio","added_predictor_vif","mean_vif","max_vif","null_ptransform_pvalue","response_est_ptransform","NULL_PREDICTORxadded_predictor_est_ptransform"
"1603",5,2,1.4584763539283,0.172682908299891,152,6,"TTTFTT","rear",0.105942115951803,0.0390192916400278,0.0291706251175031,0.00871166415851146,0.225684768280325,0.000111228211708579,1.01276773411885,0.000492847667816119,0.781951195645765,0.774483770839113,-0.00647843461608466,0.991715039695368,-0.00512059454331903,0.993388377218323,2.45027433435632,0.996752106330065,2.22429417375167,0.997047761839057,-0.573606186489997,1.00077906384798,0.0745990127426422,0.0802765006455935,2.07610674316211,2.4635907804936,2.95254794760866,6.26629099878852,0,-0.161367725583102,0.257544208886865
"1604",5,2,1.4584763539283,0.172682908299891,152,6,"TTFTTT","kms",0.0766849058268547,0.0600772935508531,0.0242678251217282,0.00848263832284263,0.225684768280325,0.000340254047377406,1.04011181833147,0.0015076518010944,0.780862344478523,0.773357630248336,-0.00538958344884277,0.993097908374053,-0.0039944539525415,0.994834920098663,1.69313414442229,0.997753458015472,1.46715398381764,0.998050732161682,-1.33074637642403,1.00180926152671,0.047029418368143,0.107846095020093,3.29316242390839,1.53988674106466,2.10668520992853,3.01343645908997,0,-0.180481963283007,1.03551828611846
"1605",5,2,1.4584763539283,0.172682908299891,152,5,"TFTFTT","drivers",0.879978601054043,2.92443130662924e-38,2.11531085177093,0.00891930676555402,0.225684768280325,0.0236105215011871,3.64712517707877,0.104617257429887,0.779557465486558,0.773559029173267,-0.46978434609101,0.397370473775406,-0.477776995195377,0.382365175536771,171.490263050841,0.772788336948938,171.294568334599,0.772816713025708,168.466382529995,0.772232088252716,0.0518420787210249,-0.0480856004780689,0.0724600235104494,1.65439809694426,1.34462215914068,1.65439809694426,0,-0.022025768549469,-0.158510362665301
"1606",5,2,1.4584763539283,0.172682908299891,152,5,"FTTFTT","front",0.688784280148794,5.90624404003597e-12,0.858420438927686,0.0214832896566324,0.225684768280325,0.0110465386101086,1.51419213661714,0.0489467618673656,0.500417668982756,0.486823591948273,-0.190644549587207,0.61902914024849,-0.191041557970382,0.607575390490359,47.1336875863511,0.925232494590625,46.9379928701085,0.925452206879725,44.1098070655048,0.928309838705778,0.0438364182576699,-0.0400799400147139,0.0856930924619686,3.29341607504875,2.07759615931174,3.29341607504875,0,-0.602997126194096,1.29881904563053
"1607",5,2,1.4584763539283,0.172682908299891,152,5,"FFTTTT","kms",-0.312756405976919,4.00009731899626e-05,0.338062065510109,0.0322948449190557,0.225684768280325,0.000234983347685409,1.00727618752387,0.00104120162594903,0.384852517891936,0.368113810895798,-0.0750793984963874,0.804913843600033,-0.0723317769179074,0.803507027508994,15.5040629150515,0.974106976193674,15.3083681988088,0.974401005669915,12.4801823942051,0.978617168723613,0.0842880841639794,-0.0805316059210233,0.0445671328304004,1.83872104214138,1.48450728035273,1.83872104214138,0,-0.592668233486725,1.23125809169167
"1608",5,2,1.4584763539283,0.172682908299891,152,6,"TTTFTT","front",-0.106461015614915,0.207525829840124,0.0107783143991788,0.00871166415851146,0.225684768280325,0.00020764260704256,1.0238350105404,0.000920055919700548,0.781951195645765,0.774483770839113,-0.00239373015920685,0.996938772940644,-0.000924741665845885,0.998805989614419,-0.340443396133878,1.00045126536885,-0.566423556738528,1.00075179679882,-3.3643239169802,1.00456937738528,0.0745990127426422,-0.0227569340216173,0.694943228000537,6.26629099878852,2.95254794760866,6.26629099878852,0,-0.161367725583102,1.11631934186499
"1609",5,2,1.4584763539283,0.172682908299891,152,6,"TFTTTT","kms",0.0569853915969978,0.252964749637628,0.00887530098353839,0.00863714255454418,0.225684768280325,0.000282164211009841,1.03266869907819,0.00125025810629525,0.78152855993134,0.774046661298852,-0.00197109444478194,0.997477898382939,-0.000487632125584447,0.999370022312652,-0.634774069161494,1.00084173568378,-0.860754229766144,1.00114289945043,-3.65865459000781,1.00497112039626,0.0325059092305663,0.0193361694904586,1.59485090397891,2.32511181601142,1.80963169756651,2.32511181601142,0,-0.0628223102404535,1.20297940074237
"1610",5,2,1.4584763539283,0.172682908299891,152,6,"TTTFTT","drivers",0.939658139378871,4.54379756903374e-28,1.26766872724243,0.00871166415851146,0.225684768280325,0.012771625498121,2.46603740292753,0.0565905514822216,0.781951195645765,0.774483770839113,-0.28153352666301,0.639960232517442,-0.287660178890841,0.62857817074827,124.016132068356,0.835613831207834,123.790151907752,0.835697087766683,120.99225154751,0.835670027126405,0.0745990127426422,-0.0307625944849723,0.5876273243575,3.14777716117792,2.95254794760866,6.26629099878852,0,-0.161367725583102,-0.629955217559858
"1611",5,2,1.4584763539283,0.172682908299891,152,6,"FTTTTT","kms",-0.00764849624314498,0.928366961698662,0.000124945630416651,0.021561647767511,0.225684768280325,-7.83581108785361e-05,0.996365857019675,-0.000347201592183682,0.500445417860058,0.483337384225128,-2.77488773022805e-05,0.999944551640774,0.00348620772314434,1.00721278311367,-1.99155705430246,1.00316919097379,-2.21753721490711,1.00353438169985,-5.01543757514878,1.00821841092406,0.0496305575878802,-0.00579413933021029,0.883254599347374,2.97530095652945,3.17317708474936,5.32919555156129,0,-0.559862597628649,1.1841521181102
"1612",5,2,1.4584763539283,0.172682908299891,152,7,"TTTTTT","kms",0.0352572797400867,0.532258266824099,0.00264681919557075,0.00859063629276509,0.225684768280325,0.00012102786574637,1.01408834708185,0.000536269535018154,0.782539021413298,0.773540636092469,-0.000587825767532579,0.999248822421058,0.000943134746644647,1.00121924395777,-1.58967823721105,1.00211160368647,-1.84657478893519,1.00245692436584,-4.61355875805725,1.00630558178163,0.0538169592619822,0.02078205348066,1.38616179296739,2.9845110170972,3.66427049167305,8.04340436164619,0,-0.142699009882831,1.18841234491763
"1613",5,2,1.4584763539283,0.172682908299891,152,5,"TFFTTT","drivers",0.927692855841009,9.75549653669753e-42,2.45723478761082,0.00847645368916135,0.225684768280325,0.0268908976882715,4.17242312344092,0.119152470470981,0.780861399982942,0.774898444880437,-0.545721418165748,0.30112896068666,-0.555262382350732,0.283438512466744,187.998241039419,0.751213752580389,187.802546323176,0.751220170684696,184.974360518572,0.750217700215303,0.048088300441318,0.0668120586446129,2.38936202842401,1.58282086208644,1.46049654123754,1.58282086208644,0,-0.0213486602939774,-0.245854983334166
"1614",5,2,1.4584763539283,0.172682908299891,152,5,"FTFTTT","front",0.557365916004091,6.29780775771693e-15,1.16979209552777,0.0226169416983721,0.225684768280325,0.0127504096790607,1.56375481040297,0.0564965450536003,0.49493632059164,0.481193091219984,-0.259796338774446,0.475091384556524,-0.261557028690279,0.456440598456753,61.0812639030341,0.902852046699686,60.8855691867915,0.903044999851445,58.0573833821879,0.905386266568325,0.137024795188894,-0.0221244361029632,0.838536988342411,1.58253137472407,1.48625629965067,1.58253137472407,0,-0.691932226944121,0.724566792539275
"1615",5,2,1.4584763539283,0.172682908299891,152,5,"FFTTTT","rear",0.377448855481231,1.61120596334143e-08,0.674114739752735,0.0322948449190557,0.225684768280325,0.00307250645837719,1.09513922318185,0.013614150754564,0.384852517891936,0.368113810895798,-0.149712536074742,0.610987250662134,-0.148477748366094,0.596652600442304,31.1102796168067,0.948043347401705,30.914584900564,0.948303942437964,28.0863990959605,0.951878368916384,0.0842880841639794,0.0306122749219516,1.36318627034394,1.35319200475493,1.48450728035273,1.83872104214138,0,-0.592668233486725,-0.422212930692493
"1616",5,2,1.4584763539283,0.172682908299891,152,6,"TTFTTT","front",0.00146635456529699,0.980021244035946,4.25280614269052e-06,0.00848263832284263,0.225684768280325,-6.18463368128562e-06,0.999270906828052,-2.74038595001885e-05,0.780862344478523,0.773357630248336,-9.44495581522986e-07,0.999998790445476,0.00154081463210098,1.00199237011679,-1.99934487288988,1.00265283894563,-2.22532503349453,1.0029565775409,-5.0232253937362,1.00682949704457,0.047029418368143,0.00105888207317501,1.02251531296616,3.01288532169149,2.10668520992853,3.01343645908997,0,-0.180481963283007,0.535331958005106
"1617",5,2,1.4584763539283,0.172682908299891,152,6,"TFTTTT","rear",0.0289675749288079,0.505366745480934,0.00300403938627725,0.00863714255454418,0.225684768280325,-0.00016068886538283,0.981395598791143,-0.000712005806183774,0.78152855993134,0.774046661298852,-0.000667159948398499,0.99914633964438,0.000851783581584886,1.00110042924306,-1.53653535598346,1.00203750704598,-1.76251551658811,1.00234024759406,-4.56041587682978,1.00619636968263,0.0325059092305663,0.0155823912107518,1.47937103067091,1.78852772291886,1.80963169756651,2.32511181601142,0,-0.0628223102404535,-0.382159446892255
"1618",5,2,1.4584763539283,0.172682908299891,152,6,"TTFTTT","drivers",0.926532571923171,2.94048454087664e-28,1.2874469448892,0.00848263832284263,0.225684768280325,0.0141343033755295,2.6662626458407,0.0626285215578801,0.780862344478523,0.773357630248336,-0.285926023886883,0.633832997699702,-0.292164539028352,0.622212896594123,124.917632263495,0.834252527236354,124.69165210289,0.834334071384655,121.893751742648,0.83427520128472,0.047029418368143,0.0899953768207511,2.91359748734874,3.01343645908997,2.10668520992853,3.01343645908997,0,-0.180481963283007,-0.640688606788193
"1619",5,2,1.4584763539283,0.172682908299891,152,6,"FTTTTT","rear",-0.132869075516168,0.206498288941106,0.0248059632729611,0.021561647767511,0.225684768280325,0.00105529393086117,1.04894310222669,0.00467596435019657,0.500445417860058,0.483337384225128,-0.00550909726841781,0.988991612128301,-0.0021442930051444,0.995563568895913,-0.332916669230258,1.00052977468101,-0.558896829834907,1.00089078763332,-3.35679719007658,1.00550052478641,0.0496305575878802,0.0873942376010139,2.76089574343923,4.55689215855556,3.17317708474936,5.32919555156129,0,-0.559862597628649,0.159956892275316
"1620",5,2,1.4584763539283,0.172682908299891,152,7,"TTTTTT","rear",0.0750326873227644,0.29211107376565,0.00754961919134567,0.00859063629276509,0.225684768280325,-0.000107997969922457,0.987428408532042,-0.000478534598260132,0.782539021413298,0.773540636092469,-0.00167667693477447,0.99785738871942,-0.000183005844132889,0.999763417931012,-0.832538047277012,1.00110587813848,-1.08943459900115,1.00144952613201,-3.85641856812322,1.00527076036976,0.0538169592619822,-0.0067875408938392,0.873877287254427,4.77477572208897,3.66427049167305,8.04340436164619,0,-0.142699009882831,0.14026628811971
"1621",5,2,1.4584763539283,0.172682908299891,152,6,"TFTTTT","drivers",0.909295045609932,1.2388414309508e-34,1.78612408724436,0.00863714255454418,0.225684768280325,0.0236577023645115,3.73906586757268,0.104826313910233,0.78152855993134,0.774046661298852,-0.396676042039404,0.492435641668356,-0.405932850403054,0.475570568676186,155.351426066629,0.793997825054463,155.125445906024,0.794026237986464,152.327545545782,0.793028133717997,0.0325059092305663,0.0517821749334131,2.59300804558701,2.09203053395858,1.80963169756651,2.32511181601142,0,-0.0628223102404535,-0.300251511045214
"1622",5,2,1.4584763539283,0.172682908299891,152,6,"FTTTTT","front",0.682250931965752,3.72594357725326e-08,0.520483319047993,0.021561647767511,0.225684768280325,0.0107331971515447,1.49779113671069,0.0475583586492329,0.500445417860058,0.483337384225128,-0.115592899968122,0.769019965329275,-0.11522357332933,0.761608398005354,29.6380676169972,0.952836552601178,29.4120874563926,0.953122074812817,26.6141870961509,0.956389383241492,0.0496305575878802,0.0346575265760992,1.6983102399108,5.32919555156129,3.17317708474936,5.32919555156129,0,-0.559862597628649,1.52068637043037
"1623",5,2,1.4584763539283,0.172682908299891,152,7,"TTTTTT","front",-0.0783659787927527,0.413090551083331,0.00454983261121111,0.00859063629276509,0.225684768280325,4.6506261779088e-05,1.00541359920199,0.000206067348423454,0.782539021413298,0.773540636092469,-0.00101046148195749,0.998708739814492,0.000506025206383209,1.00065416758057,-1.29534756418343,1.0017206379428,-1.55224411590757,1.00206530838228,-4.31922808502964,1.005903305312,0.0538169592619822,-0.0213110500314159,0.604008655939232,8.04340436164619,3.66427049167305,8.04340436164619,0,-0.142699009882831,1.33678876834886
"1624",5,2,1.4584763539283,0.172682908299891,152,7,"TTTTTT","drivers",0.942047022608719,5.69163025978736e-28,1.27019060080758,0.00859063629276509,0.225684768280325,0.0129710114747459,2.5099011333619,0.0574740226094234,0.782539021413298,0.773540636092469,-0.28209360355324,0.63951496879508,-0.29020325186734,0.624837741772302,124.418010885448,0.83473288851846,124.161114333724,0.834799831058146,121.394130364602,0.834084563139612,0.0538169592619822,-0.00418640167410202,0.922210363953814,3.15752112279115,3.66427049167305,8.04340436164619,0,-0.142699009882831,-0.558714076105301
