"dataset","response_mean","response_sd","predictors","k_fold","test_mean","test_sd","mse","std_mse","std_mse_sqrt","num_training_samples","num_coefficients","r_sq","r_sq_adj"
"18",1,1.23414600419768,0.225575762234721,"TFF",3,1.24273856666414,0.231647473912805,0.000824763067997811,0.00356042331939377,0.059669282879835,1488,2,0.981794071088574,0.981781819454044
"19",1,1.23414600419768,0.225575762234721,"FTF",3,1.24273856666414,0.231647473912805,0.00349700745343946,0.0150962468718989,0.122866785063738,1488,2,0.933294063386934,0.933249173792982
"20",1,1.23414600419768,0.225575762234721,"TTF",3,1.24273856666414,0.231647473912805,0.000549009422300324,0.00237002119223185,0.0486828634350102,1488,3,0.9898521670149,0.989838499899769
"21",1,1.23414600419768,0.225575762234721,"FFT",3,1.24273856666414,0.231647473912805,0.00234405658967292,0.0101190682120508,0.100593579377865,1488,2,0.949579223507414,0.949545292971416
"22",1,1.23414600419768,0.225575762234721,"TFT",3,1.24273856666414,0.231647473912805,0.000744107560899831,0.00321224120570347,0.0566766372123776,1488,3,0.983701070135246,0.983679118714553
"23",1,1.23414600419768,0.225575762234721,"FTT",3,1.24273856666414,0.231647473912805,0.000888836606862435,0.00383702266141268,0.0619437055834786,1488,3,0.984380983343487,0.984359947630818
"24",1,1.23414600419768,0.225575762234721,"TTT",3,1.24273856666414,0.231647473912805,0.000548528781765865,0.00236794631299255,0.0486615486086556,1488,4,0.989852713043858,0.989832199660523
"25",1,1.23635584738881,0.227027867622253,"FFF",4,1.2338991938996,0.226010417368343,0.0509494301721554,0.225429565439544,0.474794234842362,1488,1,0,0
"26",1,1.23635584738881,0.227027867622253,"TFF",4,1.2338991938996,0.226010417368343,0.000930720431834719,0.00411804217996672,0.0641719734772644,1488,2,0.982541806012788,0.982530057564614
"27",1,1.23635584738881,0.227027867622253,"FTF",4,1.2338991938996,0.226010417368343,0.00333609149352138,0.0147607863936836,0.121493976779442,1488,2,0.933358155233173,0.933313308769669
"28",1,1.23635584738881,0.227027867622253,"TTF",4,1.2338991938996,0.226010417368343,0.000517407428052748,0.0022893078738468,0.0478467122574456,1488,3,0.989837396742165,0.989823709734411
"29",1,1.23635584738881,0.227027867622253,"FFT",4,1.2338991938996,0.226010417368343,0.00240361947906755,0.0106349942053787,0.103126108262548,1488,2,0.950509740117072,0.95047643576991
"30",1,1.23635584738881,0.227027867622253,"TFT",4,1.2338991938996,0.226010417368343,0.000856409495025566,0.0037892478806843,0.0615568670473433,1488,3,0.984454403091498,0.984433466260645
"31",1,1.23635584738881,0.227027867622253,"FTT",4,1.2338991938996,0.226010417368343,0.000736214086242088,0.00325743430242968,0.0570739371554975,1488,3,0.983847993212694,0.983826239668199
"32",1,1.23635584738881,0.227027867622253,"TTT",4,1.2338991938996,0.226010417368343,0.000519959444698176,0.00230059946241667,0.047964564653676,1488,4,0.98985070966768,0.989830192234393
"33",1,1.23472151886286,0.224184710519541,"FFF",5,1.24043650800341,0.237067916775202,0.0560827797780102,0.236568408500381,0.486382985414149,1488,1,0,0
"34",1,1.23472151886286,0.224184710519541,"TFF",5,1.24043650800341,0.237067916775202,0.00107502458512876,0.00453466921948847,0.0673399526246379,1488,2,0.98278379659494,0.982772210993725
"35",1,1.23472151886286,0.224184710519541,"FTF",5,1.24043650800341,0.237067916775202,0.00359971616828709,0.0151843244638645,0.123224690966805,1488,2,0.932976141452759,0.932931037914033
"36",1,1.23472151886286,0.224184710519541,"TTF",5,1.24043650800341,0.237067916775202,0.000567638050922344,0.00239441109806775,0.0489327201171951,1488,3,0.989807633799222,0.989793906706696
"37",1,1.23472151886286,0.224184710519541,"FFT",5,1.24043650800341,0.237067916775202,0.00298823014767614,0.012604953839071,0.112271785587791,1488,2,0.952108318174024,0.952076089585985
"38",1,1.23472151886286,0.224184710519541,"TFT",5,1.24043650800341,0.237067916775202,0.000944380703710395,0.00398358713636438,0.0631156647462766,1488,3,0.984468639005844,0.98444772134794
"39",1,1.23472151886286,0.224184710519541,"FTT",5,1.24043650800341,0.237067916775202,0.000871195888667685,0.00367487891452554,0.0606207795605232,1488,3,0.984087252184008,0.984065820873818
"40",1,1.23472151886286,0.224184710519541,"TTT",5,1.24043650800341,0.237067916775202,0.000567337183159034,0.00239314197752456,0.048919750382893,1488,4,0.989810952248731,0.989790354443304
"41",2,1.46384205856256,0.236207819202635,"FFFFFF",1,1.43478260869565,0.19322161776773,0.0374171147182687,0.193648698062592,0.44005533522796,196,1,0,0
"42",2,1.46384205856256,0.236207819202635,"TFFFFF",1,1.43478260869565,0.19322161776773,0.0368256042711228,0.190587392324758,0.436563159605524,196,2,0.00399277994522305,-0.00114127789011076
"43",2,1.46384205856256,0.236207819202635,"FTFFFF",1,1.43478260869565,0.19322161776773,0.0361969736101053,0.187333974470793,0.432820949667172,196,2,0.00943853306090739,0.00433254611792233
"44",2,1.46384205856256,0.236207819202635,"TTFFFF",1,1.43478260869565,0.19322161776773,0.034487235409248,0.17848538795853,0.422475310472138,196,3,0.0255781139318028,0.0154804778067438
"45",2,1.46384205856256,0.236207819202635,"FFTFFF",1,1.43478260869565,0.19322161776773,0.0375445870233035,0.194308418783842,0.440804286258473,196,2,0.000256066433620752,-0.00489725281156672
"46",2,1.46384205856256,0.236207819202635,"TFTFFF",1,1.43478260869565,0.19322161776773,0.0369476246408084,0.191218897076117,0.437285829951208,196,3,0.00424141876890432,-0.00607732300551134
"47",2,1.46384205856256,0.236207819202635,"FTTFFF",1,1.43478260869565,0.19322161776773,0.0363431416488307,0.188090453173404,0.433693962574307,196,3,0.00970052390682281,-0.000561646829894125
"48",2,1.46384205856256,0.236207819202635,"TTTFFF",1,1.43478260869565,0.19322161776773,0.0346334888158993,0.179242308474675,0.423370179009665,196,4,0.0258271859228094,0.0106057357028533
"49",2,1.46384205856256,0.236207819202635,"FFFTFF",1,1.43478260869565,0.19322161776773,0.0377506946076924,0.195375108871473,0.442012566418052,196,2,0.00819141389928051,0.00307899850700877
"50",2,1.46384205856256,0.236207819202635,"TFFTFF",1,1.43478260869565,0.19322161776773,0.036749463174976,0.190193331364983,0.436111604253983,196,3,0.0168485794245653,0.00666048180202194
"51",2,1.46384205856256,0.236207819202635,"FTFTFF",1,1.43478260869565,0.19322161776773,0.0363935314170343,0.188351240598672,0.433994516784108,196,3,0.0244884115487395,0.0143794831710062
"52",2,1.46384205856256,0.236207819202635,"TTFTFF",1,1.43478260869565,0.19322161776773,0.0333172718388756,0.172430353413799,0.415247340044218,196,4,0.0726528601338337,0.0581630610734249
"53",2,1.46384205856256,0.236207819202635,"FFTTFF",1,1.43478260869565,0.19322161776773,0.0376304265326159,0.194752672953246,0.441307911727454,196,3,0.00862933817842382,-0.0016439329285356
"54",2,1.46384205856256,0.236207819202635,"TFTTFF",1,1.43478260869565,0.19322161776773,0.0365128510649514,0.188968768022857,0.434705380715327,196,4,0.0179633735275271,0.00261905123889472
"55",2,1.46384205856256,0.236207819202635,"FTTTFF",1,1.43478260869565,0.19322161776773,0.0361181203247791,0.186925876835357,0.432349253307273,196,4,0.0258361196989698,0.0106148090692663
"56",2,1.46384205856256,0.236207819202635,"TTTTFF",1,1.43478260869565,0.19322161776773,0.0323767570585986,0.167562809134112,0.409344364971734,196,5,0.0823204627132082,0.0631020430841654
"57",2,1.46384205856256,0.236207819202635,"FFFFTF",1,1.43478260869565,0.19322161776773,0.035401826125192,0.183218764723045,0.428040611067508,196,2,0.0401902091264772,0.0352427359776446
"58",2,1.46384205856256,0.236207819202635,"TFFFTF",1,1.43478260869565,0.19322161776773,0.0353841520808606,0.183127294397232,0.427933750009546,196,3,0.0401981533580369,0.0302520202322134
"59",2,1.46384205856256,0.236207819202635,"FTFFTF",1,1.43478260869565,0.19322161776773,0.033849161570055,0.175183097839211,0.418548799830093,196,3,0.054807942018805,0.0450132056666682
