"dataset" "response_mean" "response_sd" "predictors" "k_fold" "test_mean" "test_sd" "mse" "std_mse" "std_mse_sqrt" "num_training_samples" "num_coefficients" "r_sq" "r_sq_adj"
"48" 2 0.487483530961792 0.230879108173417 "111000" 1 0.550434782608696 0.212747199955906 0.0493486084076049 0.231958909061237 0.481621126053703 198 4 0.0357182654241143 0.0208066922090233
"49" 2 0.487483530961792 0.230879108173417 "000100" 1 0.550434782608696 0.212747199955906 0.0478346824677116 0.224842829788715 0.474175948133934 198 2 0.00736373316615441 0.00229926241700229
"50" 2 0.487483530961792 0.230879108173417 "100100" 1 0.550434782608696 0.212747199955906 0.0474129389953899 0.222860460702734 0.472080989558713 198 3 0.0211286860065699 0.011088980222022
"51" 2 0.487483530961792 0.230879108173417 "010100" 1 0.550434782608696 0.212747199955906 0.0467699674398015 0.219838227950803 0.468869094685076 198 3 0.022531745399648 0.0125064299678496
"52" 2 0.487483530961792 0.230879108173417 "110100" 1 0.550434782608696 0.212747199955906 0.0460797269604834 0.216593811669596 0.465396402725242 198 4 0.0836988733456647 0.0695292682943091
"53" 2 0.487483530961792 0.230879108173417 "001100" 1 0.550434782608696 0.212747199955906 0.0492560579588262 0.231523883600042 0.481169287881139 198 3 0.0136214674284839 0.00350476453031456
"54" 2 0.487483530961792 0.230879108173417 "101100" 1 0.550434782608696 0.212747199955906 0.0491238554880528 0.230902477204091 0.480523128687986 198 4 0.0300654528371707 0.0150664649944465
"55" 2 0.487483530961792 0.230879108173417 "011100" 1 0.550434782608696 0.212747199955906 0.0487732453268509 0.22925446415727 0.478805246584945 198 4 0.0328236754410791 0.0178673405252195
"56" 2 0.487483530961792 0.230879108173417 "111100" 1 0.550434782608696 0.212747199955906 0.0516801156212006 0.242917959117261 0.492867080577777 198 5 0.117410328119446 0.0991183141944599
"57" 2 0.487483530961792 0.230879108173417 "000010" 1 0.550434782608696 0.212747199955906 0.0459117070942315 0.215804048672542 0.464547143649105 198 2 0.0427013960787221 0.0378172195281035
"58" 2 0.487483530961792 0.230879108173417 "100010" 1 0.550434782608696 0.212747199955906 0.0459251488289957 0.215867230396048 0.464615142237151 198 3 0.0430275537261036 0.033212451713038
"59" 2 0.487483530961792 0.230879108173417 "010010" 1 0.550434782608696 0.212747199955906 0.0447946272267323 0.210553310389121 0.458860883481171 198 3 0.0554356052761063 0.0457477653302203
"60" 2 0.487483530961792 0.230879108173417 "110010" 1 0.550434782608696 0.212747199955906 0.0447875992105581 0.210520275800766 0.458824885768815 198 4 0.0623937039170583 0.0478946374827861
