"dataset" "k_fold" "response_mean" "response_sd" "num_training_samples" "superset_num_coefficients" "subset_predictors" "superset_predictors" "added_predictor" "predictor_coefficient" "predictor_pvalue" "anova_pvalue" "superset_mse" "superset_test_sd" "mse_diff" "mse_ratio" "std_mse_diff" "std_mse_ratio" "superset_r_sq" "superset_r_sq_adj" "r_sq_diff" "r_sq_ratio" "r_sq_adj_diff" "r_sq_adj_ratio"
"52" 1 5 2525.18906586021 1072.44360894786 1488 3 "100" "110" "CAC" 0.488781286943091 2.95770999276304e-171 12012525.885947 12989.9790492298 1134.07364687337 11611.1674305363 1.89385574730583 10.2384597883463 1.89385574730583 0.989807633799222 0.989793906706696 0.00702383720428246 1.00714687933258 0.00702169571297084 1.00714478455376
"53" 1 5 2525.18906586021 1072.44360894786 1488 3 "100" "101" "FTSE" -0.322305520712075 4.05132132157403e-35 2881503.72596816 21611.4573992383 1134.07364687337 2989.68908052778 1.13833815208747 2.63623891514481 1.13833815208747 0.984468639005844 0.98444772134794 0.00168484241090461 1.001714357132 0.00167551035421476 1.00170488169636
"54" 1 5 2525.18906586021 1072.44360894786 1488 3 "010" "110" "SMI" 0.482408155131043 0 97196127.0020081 12989.9790492298 1134.07364687337 69386.8762959029 6.34156953086211 61.1837480636304 6.34156953086211 0.989807633799222 0.989793906706696 0.0568314923464627 1.06091419686035 0.0568628687926626 1.06095077393909
"55" 1 5 2525.18906586021 1072.44360894786 1488 3 "010" "011" "FTSE" 0.623865430094373 0 87412837.578905 19936.6767664356 1134.07364687337 62440.1785786971 4.13192511019781 55.0583101466505 4.13192511019781 0.984087252184008 0.984065820873818 0.0511111107312486 1.05478287006532 0.0511347829597849 1.05481089264017
"56" 1 5 2525.18906586021 1072.44360894786 1488 4 "110" "111" "FTSE" -0.0162111646375755 0.487030793560214 5675.38219807297 12983.0939118863 1134.07364687337 6.88513734344633 1.00053031560814 0.00607115539844294 1.00053031560814 0.989810952248731 0.989790354443304 3.31844950929305e-06 1.00000335262065 -3.55226339143755e-06 0.999996411108042
"57" 1 5 2525.18906586021 1072.44360894786 1488 3 "001" "101" "SMI" 0.830725517539766 0 55344276.976233 21611.4573992383 1134.07364687337 46771.9903797058 3.16422194559421 41.2424629640726 3.16422194559421 0.984468639005844 0.98444772134794 0.0323603208318199 1.03398806649844 0.0323716317619543 1.03400109730309
"58" 1 5 2525.18906586021 1072.44360894786 1488 3 "001" "011" "CAC" 0.83644142687418 0 54692009.7131088 19936.6767664356 1134.07364687337 48446.7710125084 3.43003242616999 42.7192459202942 3.43003242616999 0.984087252184008 0.984065820873818 0.0319789340099838 1.03358749566574 0.0319897312878328 1.03359997340312
"59" 1 5 2525.18906586021 1072.44360894786 1488 4 "101" "111" "CAC" 0.48311501381165 5.06995787120338e-138 9136697.54217689 12983.0939118863 1134.07364687337 8628.36348735196 1.66458453939492 7.60829202859996 1.66458453939492 0.989810952248731 0.989790354443304 0.00534231324288714 1.00542659565904 0.00534263309536465 1.00542703586946
"60" 1 5 2525.18906586021 1072.44360894786 1488 4 "011" "111" "SMI" 0.493709964287409 7.54868161992973e-146 9788964.80530114 12983.0939118863 1134.07364687337 6953.5828545493 1.53558750339032 6.13150907237837 1.53558750339032 0.989810952248731 0.989790354443304 0.00572370006472334 1.00581625262599 0.00572453356948621 1.00581722629529
"61" 2 1 31.2121212121212 5.31021948798858 198 2 "000000" "100000" "parity" 0.340709991411395 0.229048393591969 40.9574707857273 25.5170058830679 4.89318559898584 0.043747101321415 1.00171442925247 0.00894041324132111 1.00171442925247 0.00737296138911062 0.00230853772272854 0.00737296138911062 Inf 0.00230853772272854 Inf
"62" 2 1 31.2121212121212 5.31021948798858 198 2 "000000" "010000" "induced" -0.676138737985792 0.184883411666571 49.7269308209507 25.1987434070301 4.89318559898584 0.362009577359185 1.0143661757855 0.073982392459059 1.0143661757855 0.0089515962267291 0.00389522681972265 0.0089515962267291 Inf 0.00389522681972265 Inf
"63" 2 1 31.2121212121212 5.31021948798858 198 2 "000000" "001000" "case" 0.533705357142867 0.50036670127638 12.8897930194762 26.116559045161 4.89318559898584 -0.555806060771701 0.978718250753838 -0.113587774166362 0.978718250753838 0.00232035680971232 -0.00276984545146264 0.00232035680971232 Inf -0.00276984545146264 -Inf
"64" 2 1 31.2121212121212 5.31021948798858 198 2 "000000" "000100" "spontaneous" -0.611093180875093 0.229341054598602 40.9062071682793 25.3045470254194 4.89318559898584 0.256205958969925 1.01012489805538 0.0523597467921562 1.01012489805538 0.00736373316615444 0.00229926241700229 0.00736373316615444 Inf 0.00229926241700229 Inf
"65" 2 1 31.2121212121212 5.31021948798858 198 2 "000000" "000010" "stratum" -0.044934414759134 0.00349011500414131 237.210137162399 24.2872930528483 4.89318559898584 1.27345993154094 1.05243317683737 0.260251712464141 1.05243317683737 0.0427013960787222 0.0378172195281036 0.0427013960787222 Inf 0.0378172195281036 Inf
"66" 2 1 31.2121212121212 5.31021948798858 198 2 "000000" "000001" "pooled.stratum" -0.0537679646938356 0.011502564595365 178.522677441642 24.941813526797 4.89318559898584 0.61893945759233 1.02481533497664 0.126490084030454 1.02481533497664 0.0321367697420557 0.027198692036658 0.0321367697420557 Inf 0.027198692036658 Inf
"67" 2 1 31.2121212121212 5.31021948798858 198 3 "100000" "110000" "induced" -1.27383593315377 0.0281467272648173 134.941966108663 25.1226864289891 4.89318559898584 0.394319454078808 1.01569575193295 0.0805854276528022 1.01569575193295 0.0316645469485532 0.0217329012762306 0.0242915855594425 4.29468503596392 0.0194243635535021 9.41414171501765
"68" 2 1 31.2121212121212 5.31021948798858 198 3 "100000" "101000" "case" 0.551305864476652 0.485901748809472 13.7493599222971 26.1234046387442 4.89318559898584 -0.606398755676295 0.976787146849269 -0.123927192911296 0.976787146849269 0.00984805318280253 -0.000307351399937872 0.00247509179369191 1.33569846131942 -0.00261588912266641 -0.133136832425074
"69" 2 1 31.2121212121212 5.31021948798858 198 3 "100000" "100100" "spontaneous" -0.876280293286154 0.099457034071382 76.4143007704006 25.0814447285612 4.89318559898584 0.435561154506686 1.01736587183157 0.0890138225284076 1.01736587183157 0.0211286860065697 0.0110889802220218 0.013755724617459 2.86569871880454 0.00878044249929322 4.80346503019899
"70" 2 1 31.2121212121212 5.31021948798858 198 3 "100000" "100010" "stratum" -0.0435469601597782 0.00764429778082461 198.064501758571 24.2944037305386 4.89318559898584 1.22260215252923 1.05032443545805 0.249858119582186 1.05032443545805 0.0430275537261037 0.0332124517130381 0.0356545923369931 5.83585773142018 0.0309039139903096 14.3867918579139
"71" 2 1 31.2121212121212 5.31021948798858 198 3 "100000" "100001" "pooled.stratum" -0.0572857170704196 0.00731776802347522 200.204067435247 24.7922253110733 4.89318559898584 0.724780571994611 1.02923418785126 0.148120392601668 1.02923418785126 0.0434127077607874 0.0336015560455135 0.0360397463716768 5.88809644723016 0.031293018322785 14.5553419875672
"72" 2 1 31.2121212121212 5.31021948798858 198 3 "010000" "110000" "parity" 0.683912681560552 0.0337074429400442 126.17250607344 25.1226864289891 4.89318559898584 0.0760569780410378 1.003027422177 0.0155434484350643 1.003027422177 0.0316645469485532 0.0217329012762306 0.0227129507218241 3.53730733006077 0.017837674456508 5.57936733393565
"73" 2 1 31.2121212121212 5.31021948798858 198 3 "010000" "011000" "case" 0.607584406909652 0.44305229983592 16.6285501485481 25.8929865532272 4.89318559898584 -0.694243146197117 0.973187984909737 -0.14187958583484 0.973187984909736 0.0119449856096697 0.00181108802617924 0.00299338938294059 1.3343972747567 -0.00208413879354341 0.464950594663495
"74" 2 1 31.2121212121212 5.31021948798858 198 3 "010000" "010100" "spontaneous" -0.863573521635673 0.101383593116448 75.4389632145767 24.7413127756549 4.89318559898584 0.45743063137515 1.01848853516881 0.0934831966050815 1.01848853516881 0.0225317453996478 0.0125064299678495 0.0135801491729187 2.51706453563768 0.0086112031481268 3.21070647401733
"75" 2 1 31.2121212121212 5.31021948798858 198 3 "010000" "010010" "stratum" -0.0470575634177175 0.00223739600353855 258.222896088299 23.6963578029413 4.89318559898584 1.50238560408879 1.06340154113905 0.307036300523767 1.06340154113905 0.0554356052761064 0.0457477653302203 0.0464840090493773 6.19281789214062 0.0418525385104976 11.7445703286356
"76" 2 1 31.2121212121212 5.31021948798858 198 3 "010000" "010001" "pooled.stratum" -0.0501979047926651 0.0204319105221804 150.045446135233 24.6663643646265 4.89318559898584 0.53237904240364 1.02158319866413 0.108800091808081 1.02158319866413 0.0359620355859991 0.0260744667202145 0.02701043935927 4.01738803618263 0.0221792399004919 6.69395337601189
"77" 2 1 31.2121212121212 5.31021948798858 198 4 "110000" "111000" "case" 0.708274190068202 0.367603978238706 22.5187746515967 26.1054138476229 4.89318559898584 -0.982727418633811 0.962355416988599 -0.200835917369962 0.962355416988599 0.0357182654241141 0.0208066922090232 0.00405371847556095 1.12802073189764 -0.000926209067207417 0.957382171140656
"78" 2 1 31.2121212121212 5.31021948798858 198 4 "110000" "110100" "spontaneous" -1.97873498672257 0.00107841550618239 289.055413529255 24.3761755620957 4.89318559898584 0.746510866893374 1.03062460987745 0.152561322637771 1.03062460987745 0.0836988733456636 0.069529268294308 0.0520343263971105 2.64329925457809 0.0477963670180773 3.199263062514
"79" 2 1 31.2121212121212 5.31021948798858 198 4 "110000" "110010" "stratum" -0.0405977030778082 0.0124886851599113 170.703260519769 23.6926399823851 4.89318559898584 1.43004644660397 1.06035825672729 0.292252647620878 1.06035825672729 0.0623937039170581 0.0478946374827859 0.0307291569685049 1.97045939164808 0.0261617362065553 2.20378479955497
"80" 2 1 31.2121212121212 5.31021948798858 198 4 "110000" "110001" "pooled.stratum" -0.0511898622314346 0.0170292326600046 155.964932886674 24.3356992559351 4.89318559898584 0.78698717305392 1.03233879432751 0.160833297068689 1.03233879432751 0.059740583045719 0.0452004889691066 0.0280760360971659 1.88667101862478 0.0234675876928759 2.07981844644657
"81" 2 1 31.2121212121212 5.31021948798858 198 3 "001000" "101000" "parity" 0.344324335613088 0.224855034955524 41.8170376885482 26.1234046387442 4.89318559898584 -0.00684559358317927 0.999737951707373 -0.00139900550361283 0.999737951707373 0.00984805318280253 -0.000307351399937872 0.00752769637309021 4.24419776371527 0.00246249405152477 0.110963375149892
"82" 2 1 31.2121212121212 5.31021948798858 198 3 "001000" "011000" "induced" -0.702713679310437 0.169714490980748 53.4656879500226 25.8929865532272 4.89318559898584 0.223572491933769 1.00863448067198 0.0456905807905805 1.00863448067198 0.0119449856096697 0.00181108802617924 0.00962462879995736 5.14790895937708 0.00458093347764188 -0.653858873325543
